日期,宁德时代,新能源汽车,锂电池
2019/1/1,1277,4076,1258
2019/1/2,3166,5472,1765
2019/1/3,2744,5637,1801
2019/1/4,2528,5452,1756
2019/1/5,1372,4755,1456
2019/1/6,1364,4556,1399
2019/1/7,2455,5371,1816
2019/1/8,2608,5362,1818
2019/1/9,2623,5495,1854
2019/1/10,2420,4915,1801
2019/1/11,2454,4531,1786
2019/1/12,1402,4073,1489
2019/1/13,1255,3892,1185
2019/1/14,2425,4683,1815
2019/1/15,2357,4438,1780
2019/1/16,2891,2754,1764
2019/1/17,2670,3534,1599
2019/1/18,2280,4437,1716
2019/1/19,1332,3881,1473
2019/1/20,1181,3427,1577
2019/1/21,2362,3972,1857
2019/1/22,2405,4147,1790
2019/1/23,2412,4110,1801
2019/1/24,2293,4429,1775
2019/1/25,2263,4102,1330
2019/1/26,1314,3214,1360
2019/1/27,1163,4005,1162
2019/1/28,2037,4537,1555
2019/1/29,2146,4731,1619
2019/1/30,2114,4358,1468
2019/1/31,1904,4240,1325
2019/2/1,1567,4095,1176
2019/2/2,1129,3213,1066
2019/2/3,1006,3461,1023
2019/2/4,921,2480,828
2019/2/5,964,2704,827
2019/2/6,1086,4443,1012
2019/2/7,1173,4534,1063
2019/2/8,1272,4897,1070
2019/2/9,1127,4859,1073
2019/2/10,1165,5089,1102
2019/2/11,2460,5815,1472
2019/2/12,2533,5724,1700
2019/2/13,2652,6051,1821
2019/2/14,3195,5766,1792
2019/2/15,3742,5299,1842
2019/2/16,2613,4882,1463
2019/2/17,1652,5117,1280
2019/2/18,2954,6254,1998
2019/2/19,2213,5628,1877
2019/2/20,1982,5777,1913
2019/2/21,2013,5912,1857
2019/2/22,1842,5819,1799
2019/2/23,1341,5397,1467
2019/2/24,1488,5472,1298
2019/2/25,3154,6493,1965
2019/2/26,3160,8843,1950
2019/2/27,3335,6405,1978
2019/2/28,4018,6016,1922
2019/3/1,3655,6245,1955
2019/3/2,2192,5810,1563
2019/3/3,1976,6020,1557
2019/3/4,3814,6549,2045
2019/3/5,3118,7880,2177
2019/3/6,3315,7691,2146
2019/3/7,3087,7153,2022
2019/3/8,2310,5918,1943
2019/3/9,1425,5621,1670
2019/3/10,1317,5712,1524
2019/3/11,3942,6707,1748
2019/3/12,6329,6334,2070
2019/3/13,3675,6123,2055
2019/3/14,2562,5791,2017
2019/3/15,2583,5723,1956
2019/3/16,1631,5392,1667
2019/3/17,1385,5665,1714
2019/3/18,2859,6276,2104
2019/3/19,3249,5979,2003
2019/3/20,3257,5904,2062
2019/3/21,2889,5562,2062
2019/3/22,3342,5397,1940
2019/3/23,2107,4635,1613
2019/3/24,2143,4967,1592
2019/3/25,3935,5147,1939
2019/3/26,3407,6373,1996
2019/3/27,3188,7178,2069
2019/3/28,2977,5259,2014
2019/3/29,2955,4528,1885
2019/3/30,1711,4795,1496
2019/3/31,1476,5131,1545
2019/4/1,2796,5115,1880
2019/4/2,3022,5007,1953
2019/4/3,2965,4630,1890
2019/4/4,2400,4501,1744
2019/4/5,1207,4115,1229
2019/4/6,1294,4492,1239
2019/4/7,1420,4615,1493
2019/4/8,2525,5103,1994
2019/4/9,3554,5221,2005
2019/4/10,3150,5166,1925
2019/4/11,3020,5292,1839
2019/4/12,2580,4914,1855
2019/4/13,1237,4698,1481
